name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
RELX Group,335.49億, - Relx PLC (LON),GBP,,3354900000000,
Telstra,334.20億, - Telstra Corporation Ltd (ASX),AUD,0.7522,3342000000000,2513852400000
BCE,488.50億, - BCE Inc. (USA) (TSE),CAD,0.7676,4885000000000,3749725999999
Sony,6.54兆, - Sony Corp (TYO),JPY,0.0092,654000000000000,6016800000000
China Telecom,3018.78億, - 中國電信 (HKG),HKD,0.1275,30187800000000,3848944500000
Orange,394.07億, - Orange SA (EPA),EUR,1.1558,3940700000000,4554661060000
BT Group,204.34億, - BT Group - CLASS A Common Stock (LON),GBP,1.3263,2043400000000,2710161420000
Emerson Electric,449.07億, - Emerson Electric Co. (NYSE),USD,1.0,4490700000000,4490700000000
VMware,547.42億," - VMware, Inc. (NYSE)",USD,1.0,5474200000000,5474200000000
Saudi Telecom,1747.97億, - Saudi Telecom Company SJSC (TADAWUL),SAR,,17479700000000,
Netease,302.45億, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3024500000000,3024500000000
eBay,374.03億, - eBay Inc (NASDAQ),USD,1.0,3740300000000,3740300000000
NXP Semiconductors,404.72億, - NXP Semiconductors NV (NASDAQ),USD,1.0,4047200000000,4047200000000
Infosys,2.65兆, - Infosys Ltd (NSE),INR,0.0147,265000000000000,3895500000000
Crown Castle International,426.19億, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4261900000000,4261900000000
China Unicom,3329.08億, - 中國聯通 (HKG),HKD,0.1275,33290800000000,4244577000000
SK Hynix,69.01兆, - SK Hynix Inc (KRX),KRW,0.0009,6901000000000000,6210900000000
Micron Technology,737.61億," - Micron Technology, Inc. (NASDAQ)",USD,1.0,7376100000000,7376100000000
Equinix,308.34億, - Equinix Inc (NASDAQ),USD,1.0,3083400000000,3083400000000
Altice,52.77億, - Altice NV Class A (AMS),EUR,1.1558,527700000000,609915660000
Telkom Indonesia,,,,1.0,,
Hewlett Packard Enterprise,239.66億, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2396600000000,2396600000000
Nokia,290.02億, - Nokia Oyj (HEL),EUR,1.1558,2900200000000,3352051160000
Intuit,506.46億, - Intuit Inc. (NASDAQ),USD,1.0,5064600000000,5064600000000
Mitsubishi Electric,3.40兆, - Mitsubishi Electric Corporation (TYO),JPY,0.0092,340000000000000,3128000000000
HP,354.54億, - HP Inc (NYSE),USD,1.0,3545400000000,3545400000000
Analog Devices,351.85億," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3518500000000,3518500000000
Philips,341.26億, - Koninklijke Philips NV (AMS),EUR,1.1558,3412600000000,3944283080000
Hikvision,3570.03億, - 海康威視 (SHE),CNY,0.1558,35700300000000,5562106740000
Murata Manufacturing,3.63兆," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0092,363000000000000,3339600000000
Nidec,5.11兆, - NIDEC CORPORATION (TYO),JPY,0.0092,511000000000000,4701200000000
Chunghwa Telecom,8494.40億, - 中華電信 (TPE),TWD,,84944000000000,
Panasonic,3.71兆, - Panasonic Corporation (TYO),JPY,0.0092,371000000000000,3413200000000
TE Connectivity,326.36億, - TE Connectivity Ltd (NYSE),USD,1.0,3263600000000,3263600000000
Hitachi,3.94兆," - Hitachi, Ltd. (TYO)",JPY,0.0092,394000000000000,3624800000000
Corning,223.03億, - Corning Incorporated (NYSE),USD,1.0,2230300000000,2230300000000
Fiserv,291.60億, - Fiserv Inc (NASDAQ),USD,1.0,2916000000000,2916000000000
Western Digital,259.13億, - Western Digital Corp (NASDAQ),USD,1.0,2591300000000,2591300000000
Snap,133.81億, - Snap Inc (NYSE),USD,1.0,1338100000000,1338100000000
Telenor,316.13億, - Telenor ASA (ADR) (OTCMKTS),,1.0,3161300000000,3161300000000
Vivendi,292.75億, - Vivendi SA (EPA),EUR,1.1558,2927500000000,3383604500000
Naver,22.02兆, - Naver Corp (KRX),KRW,0.0009,2202000000000000,1981800000000
Rogers Communications,"968,306", - Rogers Communications Inc. (USA) Class B (TSE),CAD,0.7676,,
Infineon Technologies,270.13億, - Infineon Technologies AG (ETR),EUR,1.1558,2701300000000,3122162540000
Swisscom,227.88億, - Swisscom AG (VTX),CHF,1.0036,2278800000000,2287003680000
Dassault Systemes,300.45億, - Dassault Systemes SE (EPA),EUR,1.1558,3004500000000,3472601100000
Amadeus IT Group,295.51億, - Amadeus It Group SA (BME),EUR,1.1558,2955100000000,3415504580000
Amphenol,263.33億, - Amphenol Corporation (NYSE),USD,1.0,2633300000000,2633300000000
Bharti Airtel,1.52兆, - Bharti Airtel Limited (NSE),INR,0.0147,152000000000000,2234400000000
Ericsson,2175.76億, - ERICSSON/SH B (STO),SEK,0.112,21757600000000,2436851200000
Level 3 Communications,,,,1.0,,
Lam Research,330.78億, - Lam Research Corporation (NASDAQ),USD,1.0,3307800000000,3307800000000
Fortive,258.98億, - Fortive Corp (NYSE),USD,1.0,2589800000000,2589800000000
LARGAN Precision,5707.67億, - 大立光電 (TPE),TWD,,57076700000000,
Sharp,1.48兆, - Sharp Corporation (TYO),JPY,0.0092,148000000000000,1361600000000
Kyocera,2.52兆, - Kyocera Corp (TYO),JPY,0.0092,252000000000000,2318400000000
TELUS,270.72億, - TELUS Corporation (USA) (TSE),CAD,0.7676,2707200000000,2078046719999
Wipro,1.19兆, - Wipro Limited (NSE),INR,0.0147,119000000000000,1749300000000
Symantec,130.68億, - Symantec Corporation (NASDAQ),USD,1.0,1306800000000,1306800000000
Expedia,176.48億, - Expedia Group Inc (NASDAQ),USD,1.0,1764800000000,1764800000000
Skyworks Solutions,182.07億, - Skyworks Solutions Inc (NASDAQ),USD,1.0,1820700000000,1820700000000
Autodesk,285.21億," - Autodesk, Inc. (NASDAQ)",USD,1.0,2852100000000,2852100000000
HCL Technologies,1.27兆, - HCL Technologies Ltd (NSE),INR,0.0147,127000000000000,1866900000000
BOE Technology Group,1407.34億, - 京東方A (SHE),CNY,0.1558,14073400000000,2192635720000
Telecom Italia,146.42億, - Telecom Italia SpA (BIT),EUR,1.1558,1464200000000,1692322360000
Hoya,2.45兆, - HOYA CORPORATION (TYO),JPY,0.0092,245000000000000,2254000000000
Fujifilm Holdings,2.15兆, - FUJIFILM Holdings Corp (TYO),JPY,0.0092,215000000000000,1978000000000
Tokyo Electron,3.50兆, - Tokyo Electron Ltd (TYO),JPY,0.0092,350000000000000,3220000000000
Check Point Software,154.09億, - Check Point Software Technologies Ltd. (NASDAQ),USD,1.0,1540900000000,1540900000000
Vestas Wind Systems,921.45億, - Vestas Wind Systems A/S (CPH),DKK,0.1553,9214500000000,1431011850000
Agilent Technologies,199.94億, - Agilent Technologies Inc (NYSE),USD,1.0,1999400000000,1999400000000
Teliasonera,1826.49億, - Telia Company AB (STO),SEK,0.112,18264900000000,2045668800000
Secom,1.91兆, - Secom Co Ltd (TYO),JPY,0.0092,191000000000000,1757200000000
